ACSSF,MO,050,00,0000033,,,,,29,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29041,"Chariton County, Missouri",,,
ACSSF,MO,050,00,0000034,,,,,29,043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29043,"Christian County, Missouri",,,
ACSSF,MO,050,00,0000035,,,,,29,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29045,"Clark County, Missouri",,,
ACSSF,MO,050,00,0000036,,,,,29,047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29047,"Clay County, Missouri",,,
ACSSF,MO,050,00,0000037,,,,,29,049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29049,"Clinton County, Missouri",,,
ACSSF,MO,050,00,0000038,,,,,29,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29051,"Cole County, Missouri",,,
ACSSF,MO,050,00,0000039,,,,,29,053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29053,"Cooper County, Missouri",,,
ACSSF,MO,050,00,0000040,,,,,29,055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29055,"Crawford County, Missouri",,,
ACSSF,MO,050,00,0000041,,,,,29,057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29057,"Dade County, Missouri",,,
ACSSF,MO,050,00,0000042,,,,,29,059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29059,"Dallas County, Missouri",,,
ACSSF,MO,050,00,0000043,,,,,29,061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29061,"Daviess County, Missouri",,,
ACSSF,MO,050,00,0000044,,,,,29,063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29063,"DeKalb County, Missouri",,,
ACSSF,MO,050,00,0000045,,,,,29,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29065,"Dent County, Missouri",,,
ACSSF,MO,050,00,0000046,,,,,29,067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29067,"Douglas County, Missouri",,,
ACSSF,MO,050,00,0000047,,,,,29,069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29069,"Dunklin County, Missouri",,,
ACSSF,MO,050,00,0000048,,,,,29,071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29071,"Franklin County, Missouri",,,
ACSSF,MO,050,00,0000049,,,,,29,073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29073,"Gasconade County, Missouri",,,
ACSSF,MO,050,00,0000050,,,,,29,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29075,"Gentry County, Missouri",,,
ACSSF,MO,050,00,0000051,,,,,29,077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29077,"Greene County, Missouri",,,
ACSSF,MO,050,00,0000052,,,,,29,079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29079,"Grundy County, Missouri",,,
ACSSF,MO,050,00,0000053,,,,,29,081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29081,"Harrison County, Missouri",,,
ACSSF,MO,050,00,0000054,,,,,29,083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29083,"Henry County, Missouri",,,
ACSSF,MO,050,00,0000055,,,,,29,085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29085,"Hickory County, Missouri",,,
ACSSF,MO,050,00,0000056,,,,,29,087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29087,"Holt County, Missouri",,,
ACSSF,MO,050,00,0000057,,,,,29,089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29089,"Howard County, Missouri",,,
ACSSF,MO,050,00,0000058,,,,,29,091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29091,"Howell County, Missouri",,,
ACSSF,MO,050,00,0000059,,,,,29,093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29093,"Iron County, Missouri",,,
ACSSF,MO,050,00,0000060,,,,,29,095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29095,"Jackson County, Missouri",,,
ACSSF,MO,050,00,0000061,,,,,29,097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29097,"Jasper County, Missouri",,,
ACSSF,MO,050,00,0000062,,,,,29,099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US29099,"Jefferson County, Missouri",,,
